연번,업종명,상호,영업소소재지(도로 명),"실외, 실내",실외흡연실 형태,
22,당구장업,보스당구장,"서울특별시 광진구 군자로 180, 201호 (군자동, 한창빌딩)",실내,,
23,당구장업,빅밤 당구클럽,서울특별시 광진구 군자로 186 (군자동),실내,,
24,당구장업,VIP당구장,서울특별시 광진구 군자로 52 (화양동),실내,,
25,당구장업,큐당구장,"서울특별시 광진구 긴고랑로 106, 2층 (중곡동)",실내,,
26,당구장업,패밀리 당구장,"서울특별시 광진구 긴고랑로 31, 지하1층 (중곡동)",실내,,
27,당구장업,또리당구장,"서울특별시 광진구 긴고랑로 42, 지층 (중곡동)",실내,,
28,당구장업,블루오션당구장(16대),"서울특별시 광진구 능동로 13길 39, 지층 (화양동, 한아름건물)",실내,,
29,당구장업,쎄쎄,서울특별시 광진구 능동로 145 (화양동),실내,,
30,당구장업,개나리당구장,서울특별시 광진구 능동로 184 (화양동),실내,,
31,당구장업,브라보 캐롬클럽 군자,"서울특별시 광진구 능동로 314, 공영빌딩 지하1층 (중곡동)",실내,,
32,당구장업,준당구장,"서울특별시 광진구 능동로 340, 지층 (중곡동)",실내,,
33,당구장업,프로당구장,"서울특별시 광진구 능동로 36길 30, 2층 2호 (능동)",실내,,
34,당구장업,제원당구장,"서울특별시 광진구 능동로 370, B1 (중곡동)",실내,,
35,당구장업,수당구장,서울특별시 광진구 능동로 373 (중곡동),실내,,
36,당구장업,나이스 당구클럽,"서울특별시 광진구 능동로 387, 지층 (중곡동)",실내,,
37,당구장업,이큐당구클럽,"서울특별시 광진구 능동로 91, 지층 (자양동)",실내,,
38,당구장업,스포츠당구장,"서울특별시 광진구 동일로 112, 지하1층 (화양동)",실내,,
39,당구장업,대한당구장,서울특별시 광진구 동일로 20길 60 (자양동),실내,,
40,당구장업,우리당구장,"서울특별시 광진구 동일로 222, 글터빌딩 지하층 (군자동)",실내,,
41,당구장업,미스터Q (7대),"서울특별시 광진구 동일로 22길 111, 3층 (화양동)",실내,,
42,당구장업,캠퍼스당구장(9대),"서울특별시 광진구 동일로 24길 69, 지층 (화양동)",실내,,
43,당구장업,아리랑 당구장,"서울특별시 광진구 동일로 78, 지하1층 (자양동)",실내,,
44,당구장업,우리당구장,"서울특별시 광진구 뚝섬로 23길 9, 지층 (자양동, 동광빌딩)",실내,,
45,당구장업,서광당구장,"서울특별시 광진구 뚝섬로 486, 2층 (자양동)",실내,,
46,당구장업,준당구장,서울특별시 광진구 뚝섬로 503 (자양동),실내,,
47,당구장업,성일당구장(5대),서울특별시 광진구 뚝섬로 52길 4 (자양동),실내,,
48,당구장업,중곡당구장,"서울특별시 광진구 면목로 141, 지하1층 (중곡동)",실내,,
49,당구장업,드림당구장,"서울특별시 광진구 면목로 161, 3층 (중곡동, 중곡빌딩)",실내,,
50,당구장업,대원당구장,"서울특별시 광진구 면목로 167, 2층 (중곡동)",실내,,
51,당구장업,나인 당구장,"서울특별시 광진구 면목로 191, 2층 (중곡동)",실내,,
52,당구장업,플라밍고당구장,"서울특별시 광진구 아차산로 235, 5층 (화양동)",실내,,
53,당구장업,공감 당구장,서울특별시 광진구 아차산로 291 (자양동),실내,,
54,당구장업,위 아일랜드,"서울특별시 광진구 아차산로 29길 8, 3,4층 (화양동)",실내,,
55,당구장업,큐당구장,서울특별시 광진구 아차산로 33길 63 (화양동),실내,,
56,당구장업,스포츠 당구장,"서울특별시 광진구 아차산로 358, 지하1층 (자양동)",실내,,
57,당구장업,히트당구장,"서울특별시 광진구 아차산로 361 (자양동, 신라빌딩)",실내,,
58,당구장업,하나로당구장,서울특별시 광진구 아차산로 395 (구의동),실내,,
59,당구장업,킹스 빌리어즈 클럽,"서울특별시 광진구 아차산로 401, 3층 (구의동)",실내,,
60,당구장업,퀸당구장,서울특별시 광진구 아차산로 610 (광장동),실내,,
61,당구장업,힐당구장,서울특별시 광진구 아차산로 624 (광장동),실내,,
62,당구장업,광나루 당구장,"서울특별시 광진구 아차산로 73길 28, 지하1층 (광장동, 대광빌딩)",실내,,
63,당구장업,은 당구클럽,"서울특별시 광진구 아차산로 76길 5, 지하1층 (광장동)",실내,,
64,당구장업,오렌지 당구장,"서울특별시 광진구 영화사로 10, 2층 (중곡동)",실내,,
65,당구장업,비바체당구,서울특별시 광진구 영화사로 32 (중곡동),실내,,
66,당구장업,에이스 당구클럽,"서울특별시 광진구 용마산로 66, 2층 (중곡동)",실내,,
67,당구장업,당구나라,서울특별시 광진구 자양로 13가길 7 (자양동),실내,,
68,당구장업,장원당구장,서울특별시 광진구 자양로 13길 16 (자양동),실내,,
69,당구장업,조이클럽,"서울특별시 광진구 자양로 15길 46, 지층 (자양동)",실내,,
70,당구장업,뱅가드당구장,"서울특별시 광진구 자양로 162 (구의동,2층)",실내,,
71,당구장업,아담당구장,"서울특별시 광진구 자양로 18길 33, 지층 (구의동)",실내,,
72,당구장업,골드 당구장,서울특별시 광진구 자양로 293 (구의동),실내,,
73,당구장업,신성당구장,"서울특별시 광진구 자양로 49, 3층 (자양동)",실내,,
74,당구장업,하남당구장,서울특별시 광진구 자양로 88 (자양동),실내,,
75,당구장업,귀공자당구장,"서울특별시 광진구 자양번영로 12, 2층 (자양동, 신자빌딩)",실내,,
76,당구장업,허리우드(8대),"서울특별시 광진구 자양번영로 33 (자양동, 성보빌딩)",실내,,
77,당구장업,자양당구장,서울특별시 광진구 자양번영로 34 (자양동),실내,,
78,당구장업,당구명인,"서울특별시 광진구 자양번영로 71, 지층 (자양동, 청아빌딩)",실내,,
79,당구장업,그린당구장,서울특별시 광진구 천호대로 112길 19 (능동),실내,,
80,당구장업,스타당구장,서울특별시 광진구 천호대로 127길 16 (중곡동),실내,,
81,당구장업,핑당구클럽,"서울특별시 광진구 천호대로 129길 29, 3층 (중곡동)",실내,,
82,당구장업,리버당구장,"서울특별시 광진구 천호대로 527, 거산빌딩 지하1층 (중곡동)",실내,,
83,당구장업,한큐당구장,"서울특별시 광진구 천호대로 528, 지층 (군자동)",실내,,
