date,time,id,m_20,m_25,f_20,f_25
20211025,0,11560720,601.7408,941.7679,791.9595,1030.1563
20211025,0,11560710,350.0522,744.1399,538.129,687.6128
20211025,0,11590550,525.1043,940.6521,797.7712,1221.3273
20211025,0,11590640,502.8744,744.0379,683.6769,854.7296
20211025,0,11590540,735.7981,916.555,809.6054,1094.0424
20211025,0,11590530,3011.4813,2775.3358,3461.2531,2348.0007
20211025,0,11590630,823.058,914.9322,967.4083,1110.4932
20211025,0,11590560,782.0681,1213.9536,955.9815,1426.1519
20211025,0,11590620,769.6359,1715.8963,1379.0682,1971.7246
20211025,0,11590605,1596.9336,1535.3243,2023.3079,1341.3441
20211025,0,11590660,1538.1502,1949.2,1944.2421,1991.9352
20211025,0,11620655,813.3228,1687.0718,1229.3512,1403.6651
20211025,0,11620565,685.999,818.999,786.8971,986.5937
20211025,0,11650570,327.5782,282.5384,326.1674,271.9088
20211025,0,11620545,320.7625,392.9924,349.8221,370.5721
20211025,0,11590670,469.7427,699.249,637.5948,822.3147
20211025,0,11620525,643.9732,1271.7283,804.8365,1296.8757
20211025,0,11590680,560.5951,1034.6961,895.4982,1234.5422
20211025,0,11620595,2312.2973,4213.3582,3551.7547,4447.2369
20211025,0,11620645,1054.0693,2345.5676,1444.9586,1955.3344
20211025,0,11620585,1670.9649,2253.9237,2076.5871,2117.6372
20211025,0,11620575,1046.2849,2266.0252,1520.4624,2393.9735
20211025,0,11620605,849.1674,1595.4993,1194.6149,1732.0598
20211025,0,11620630,1325.0662,1234.6444,930.2911,1239.5692
20211025,0,11620625,977.2976,2012.573,1501.5732,2212.3536
20211025,0,11620615,683.3334,1287.6193,1092.5599,1596.6653
20211025,0,11620685,1143.1919,1857.2543,1498.8203,1877.5648
20211025,0,11650560,635.5452,1267.5813,1237.4928,1313.4837
20211025,0,11620745,821.2016,1111.5417,851.6684,891.8993
20211025,0,11620665,957.1794,1787.4306,1147.3264,1280.2088
20211025,0,11620735,1813.2739,2834.1872,1688.5299,1670.9859
20211025,0,11620695,1542.7218,3549.9282,2379.5687,2947.9403
20211025,0,11620725,790.1293,1653.9818,1140.6733,1867.7543
20211025,0,11620715,332.3982,297.2719,275.6274,310.5565
20211025,0,11650510,701.5882,841.7354,931.632,964.2557
20211025,0,11650550,103.6622,75.9148,129.8707,71.8597
20211025,0,11620775,736.9409,868.7817,825.0895,850.3482
20211025,0,11620765,722.041,1029.7731,837.7954,1211.2663
20211025,0,11650540,689.1714,744.3244,856.7222,858.4061
20211025,0,11650520,711.8438,1205.6616,1115.5074,1441.189
20211025,0,11650531,794.2302,721.5314,863.7595,821.2623
20211025,0,11650530,1571.7237,1696.7771,1730.2124,2141.6001
20211025,0,11680545,570.0989,605.5184,796.9341,806.5002
20211025,0,11650610,554.291,677.7258,619.3347,805.2714
20211025,0,11680740,458.3126,395.4099,385.388,448.6904
20211025,0,11740600,1114.7396,1381.7926,1236.472,1532.5475
20211025,0,11710720,243.934,291.4404,313.8375,354.4159
20211025,0,11650600,434.4529,557.3651,599.9758,643.6497
20211025,0,11650590,387.7562,512.8662,593.4525,634.064
20211025,0,11650581,664.0677,638.8397,824.4088,821.6766
20211025,0,11650651,914.5006,1365.5862,1012.2529,1400.76
20211025,0,11680531,779.8649,1336.3499,1077.9365,1466.1539
20211025,0,11650621,586.2623,780.245,852.3291,934.0222
20211025,0,11650620,672.9868,610.0658,669.1521,600.2176
20211025,0,11680521,1170.6362,2010.813,1792.3596,2224.7359
20211025,0,11650652,639.5782,1258.854,673.8598,1219.1531
20211025,0,11680510,537.041,712.4929,685.2273,806.6249
20211025,0,11650660,927.9723,567.1989,355.458,531.3899
20211025,0,11680580,387.211,596.9772,502.6934,610.2874
20211025,0,11680730,389.2275,543.8036,415.2321,646.3754
20211025,0,11680640,2265.6069,4003.0748,3320.2182,4305.1326
20211025,0,11680565,777.7004,943.7292,953.7908,1263.9186
20211025,0,11680630,1038.2728,956.2429,1114.438,1076.9431
20211025,0,11680590,797.3884,957.8225,893.2144,1307.7761
20211025,0,11680610,922.8199,939.9435,886.2077,770.6934
20211025,0,11680600,499.8226,339.7383,562.9178,342.3912
20211025,0,11680656,531.1408,491.6837,818.8881,636.7022
20211025,0,11680720,511.0445,438.7708,596.2391,707.6219
20211025,0,11680655,772.0431,939.4959,1004.0579,1011.2409
20211025,0,11680650,1043.6105,1452.3064,1533.1729,1572.1834
20211025,0,11680700,1006.4311,1111.6183,1276.9392,1420.2967
20211025,0,11680660,139.253,196.5953,189.2554,203.9413
20211025,0,11680690,447.8367,589.4182,460.7221,595.4759
20211025,0,11680670,552.7478,577.92,634.2323,484.7618
20211025,0,11710532,393.9057,549.3113,499.0514,540.2896
20211025,0,11710710,534.2997,670.6068,626.9471,697.3399
20211025,0,11710600,828.2794,1585.8294,1158.0812,1962.6059
20211025,0,11740590,273.2147,304.2249,313.8656,340.6641
20211025,0,11710531,289.823,507.3302,360.039,380.5323
20211025,0,11680750,425.7504,612.7267,440.0611,674.9835
20211025,0,11710520,786.0086,1258.3784,1229.8952,1670.6424
20211025,0,11710510,374.0987,506.5392,435.5202,525.2367
20211025,0,11710561,503.6948,588.0752,616.4219,733.5437
20211025,0,11710590,497.9949,654.9328,684.8906,808.0508
20211025,0,11710550,521.8411,598.0278,514.7357,550.6314
20211025,0,11710540,404.5309,450.0087,376.4877,457.6253
20211025,0,11710580,771.8012,1509.9293,1054.6108,1791.6994
20211025,0,11710562,966.8202,1527.6811,1321.298,2236.2699
20211025,0,11710570,1135.2867,1319.219,1149.4675,1191.5666
20211025,0,11710566,505.7751,337.0033,457.6956,374.382
20211025,0,11710690,399.3488,483.1296,551.6714,540.7873
20211025,0,11710610,878.2516,1489.771,1096.8548,2025.9862
20211025,0,11710642,1041.907,1496.411,965.6152,1969.5539
20211025,0,11740580,323.3315,427.2611,361.2636,535.243
20211025,0,11710641,484.9744,941.4925,707.0623,1009.8295
20211025,0,11710620,897.5725,1485.755,1179.2159,1589.077
20211025,0,11710632,788.7501,880.4716,932.7644,1011.1116
20211025,0,11710631,622.8472,778.1807,650.2539,926.7062
20211025,0,11710680,670.5569,715.9943,918.8966,876.1046
20211025,0,11710647,725.56,818.8383,816.5476,992.3429
20211025,0,11740570,894.9763,1163.2066,1085.2972,1262.7364
20211025,0,11710646,906.0476,1140.3614,1053.3156,1264.9901
20211025,0,11740560,329.7489,436.093,426.0909,420.7661
20211025,0,11710670,684.3,558.8651,920.3567,658.3064
20211025,0,11740550,506.0526,550.7876,663.8654,670.704
20211025,0,11710650,856.2303,1472.2678,1225.6968,1734.6454
20211025,0,11740660,848.4595,1123.3854,932.1773,1162.8992
20211025,0,11740650,616.4907,1167.446,857.8066,1379.4951
20211025,0,11740640,625.8323,806.2272,695.8633,847.7599
20211025,0,11740700,728.3729,937.3689,831.7662,909.9821
20211025,0,11740690,102.9299,110.7813,138.4162,116.2914
20211025,0,11740685,1417.7455,2052.3765,1869.3894,2252.1229
20211025,1,11500603,952.3379,1937.8244,1787.0215,2933.4046
20211025,1,11500593,859.7246,1320.6907,1120.0597,1446.527
20211025,1,11200590,367.3117,402.3271,427.6745,501.247
20211025,1,11110570,408.7937,212.6596,230.954,174.8966
20211025,1,11140590,573.2318,818.1372,852.5142,980.1244
20211025,1,11290650,676.3487,598.8705,1012.2855,660.5652
20211025,1,11500591,634.1922,1134.8676,755.9815,1330.5815
