"","address","purpose1","purpose2","lon","lat"
"12981","서울특별시 서초구 서초동 1557-3","제1종근린생활시설","기타제1종근생활시설",127.010731,37.4906498
"12982","서울특별시 서초구 서초동 1557-4","공동주택","다세대주택",127.0108558,37.4907031
"12983","서울특별시 서초구 서초동 1557-7","제1종근린생활시설","다세대주택",127.0110163,37.4910504
"12984","서울특별시 서초구 서초동 1557-9","단독주택","다가구주택",127.0111709,37.4909887
"12985","서울특별시 서초구 서초동 1557-11","제2종근린생활시설","제2종근린생활시설",127.0112711,37.4911057
"12986","서울특별시 서초구 서초동 1557-13","제1종근린생활시설","제1종근린생활시설",127.0113982,37.4909014
"12987","서울특별시 서초구 서초동 1557-15","제2종근린생활시설","일반음식점",127.0114837,37.4911048
"12988","서울특별시 서초구 서초동 1557-16","제2종근린생활시설","기타사무소",127.0113813,37.4912382
"12989","서울특별시 서초구 서초동 1557-17","제2종근린생활시설","일반음식점",127.0115422,37.4913044
"12990","서울특별시 서초구 서초동 1557-18","단독주택","단독주택",127.0116248,37.4912096
"12991","서울특별시 서초구 서초동 1557-20","제2종근린생활시설","사무소",127.0118525,37.491098
"12992","서울특별시 서초구 서초동 1557-21","단독주택","단독주택",127.011743,37.4912548
"12993","서울특별시 서초구 서초동 1557-22","제2종근린생활시설","사무소",127.011658,37.4913541
"12994","서울특별시 서초구 서초동 1557-23","제2종근린생활시설","사무소",127.0115692,37.4909731
"12995","서울특별시 서초구 서초동 1558-1","공동주택","연립주택",127.0109987,37.4904998
"12996","서울특별시 서초구 서초동 1558-2","공동주택","연립주택",127.0110929,37.490214
"12997","서울특별시 서초구 서초동 1558-4","공동주택","다세대주택",127.0115293,37.4907403
"12998","서울특별시 서초구 서초동 1558-7","제2종근린생활시설","사무소",127.0117578,37.4908188
"12999","서울특별시 서초구 서초동 1558-8","제1종근린생활시설","의원",127.0119521,37.4908357
"13000","서울특별시 서초구 서초동 1558-10","단독주택","다가구주택",127.0118502,37.4906736
"13001","서울특별시 서초구 서초동 1558-11","단독주택","다가구주택",127.0121355,37.4906435
"13002","서울특별시 서초구 서초동 1558-12","단독주택","다가구주택",127.0119579,37.4905636
"13003","서울특별시 서초구 서초동 1558-15","노유자시설","노인복지시설",127.0117524,37.4905439
"13004","서울특별시 서초구 서초동 1558-17","공동주택","다세대주택",127.0115738,37.4904532
"13005","서울특별시 서초구 서초동 1558-19","단독주택","다가구주택",127.0114229,37.4904024
"13006","서울특별시 서초구 서초동 1558-20","제2종근린생활시설","사무소",127.0112825,37.4903264
"13007","서울특별시 서초구 서초동 1559-1","공동주택","아파트",127.0113832,37.4900669
"13008","서울특별시 서초구 서초동 1559-3","제2종근린생활시설","일반음식점",127.0115857,37.4899731
"13009","서울특별시 서초구 서초동 1559-5","제1종근린생활시설","제1종근린생활시설",127.0117991,37.4899163
"13010","서울특별시 서초구 서초동 1559-6","단독주택","다가구주택",127.0117804,37.4900495
"13011","서울특별시 서초구 서초동 1559-7","단독주택","다가구주택",127.0117574,37.4901592
"13012","서울특별시 서초구 서초동 1559-8","공동주택","다세대주택",127.0117364,37.490296
"13013","서울특별시 서초구 서초동 1559-9","단독주택","단독주택",127.0119003,37.4903046
"13014","서울특별시 서초구 서초동 1559-12","업무시설","사무소",127.0122036,37.4900269
"13015","서울특별시 서초구 서초동 1559-13","제1종근린생활시설","소매점",127.0120526,37.4900689
"13016","서울특별시 서초구 서초동 1559-14","단독주택","다가구주택",127.0119177,37.4900101
"13017","서울특별시 서초구 서초동 1560-1","제2종근린생활시설","제2종근린생활시설",127.0108145,37.4895431
"13018","서울특별시 서초구 서초동 1560-2","단독주택","다가구주택",127.010913,37.4897124
"13019","서울특별시 서초구 서초동 1560-6","단독주택","다가구주택",127.0111598,37.4893451
"13020","서울특별시 서초구 서초동 1560-7","공동주택","다세대주택",127.011029,37.4893989
"13021","서울특별시 서초구 서초동 1560-8","제1종근린생활시설","제1종근린생활시설",127.0109333,37.4894576
"13022","서울특별시 서초구 서초동 1560-9","공동주택","아파트",127.0111869,37.4896895
"13023","서울특별시 서초구 서초동 1561-1","제2종근린생활시설","사무소",127.0117303,37.4897265
"13024","서울특별시 서초구 서초동 1561-2","제2종근린생활시설","사무소",127.0119311,37.4897669
"13025","서울특별시 서초구 서초동 1561-3","제2종근린생활시설","사무소",127.0121256,37.4897676
"13026","서울특별시 서초구 서초동 1561-4","단독주택","다가구주택",127.0119276,37.489602
"13027","서울특별시 서초구 서초동 1561-5","단독주택","단독주택",127.0118858,37.4895124
"13028","서울특별시 서초구 서초동 1561-6","단독주택","다가구주택",127.0118112,37.4894217
"13029","서울특별시 서초구 서초동 1561-8","제2종근린생활시설","기타제2종근생활시설",127.0115803,37.4891017
"13030","서울특별시 서초구 서초동 1561-11","단독주택","다가구주택",127.011576,37.4895107
"13031","서울특별시 서초구 서초동 1561-12","공동주택","다세대주택",127.0116537,37.4896186
"13032","서울특별시 서초구 서초동 1561-14","공동주택","다세대주택",127.0115367,37.4893996
"13033","서울특별시 서초구 서초동 1562-1","제2종근린생활시설","기타제2종근생활시설",127.0124282,37.4897999
"13034","서울특별시 서초구 서초동 1562-2","공동주택","다세대주택",127.0123391,37.4896955
"13035","서울특별시 서초구 서초동 1562-3","단독주택","다가구주택",127.0124786,37.489575
"13036","서울특별시 서초구 서초동 1562-4","단독주택","단독주택",127.0124196,37.489425
"13037","서울특별시 서초구 서초동 1562-7","제2종근린생활시설","기타제2종근생활시설",127.0123258,37.4892458
"13038","서울특별시 서초구 서초동 1562-8","공동주택","연립주택",127.012213,37.4889637
"13039","서울특별시 서초구 서초동 1562-9","공동주택","연립주택",127.0119358,37.4889767
"13040","서울특별시 서초구 서초동 1563-4","제1종근린생활시설","제1종근린생활시설",127.0123005,37.488331
"13041","서울특별시 서초구 서초동 1563-5","제1종근린생활시설","소매점",127.012083,37.4882805
"13042","서울특별시 서초구 서초동 1563-6","제1종근린생활시설","제1종근린생활시설",127.0118458,37.488256
"13043","서울특별시 서초구 서초동 1563-8","공동주택","연립주택",127.011706,37.4886558
"13044","서울특별시 서초구 서초동 1563-8","공동주택","연립주택",127.011706,37.4886558
"13045","서울특별시 서초구 서초동 1563-10","제2종근린생활시설","제2종근린생활시설",127.011566,37.4881248
